Wall time,Step,Value
1756052026.1516714,474,10.513368606567383
1756052617.280745,949,3.9395203590393066
1756053235.9138174,1424,2.2483468055725098
1756053835.035649,1899,1.6032661199569702
1756054435.6279974,2374,0.9860256910324097
1756055024.7184803,2849,0.8162828683853149
1756055617.823675,3324,0.8089120388031006
1756056213.406989,3799,0.7637220025062561
1756056819.9012768,4274,0.6834667325019836
1756057411.3488212,4749,0.6219564080238342
1756057999.908979,5224,0.6163898706436157
1756058584.5886195,5699,0.5541141629219055
1756059181.3124547,6174,0.5630090832710266
1756059793.216254,6649,0.5753853917121887
1756060395.1608577,7124,0.5423636436462402
1756060993.6215572,7599,0.5272043943405151
1756061585.7074194,8074,0.523274302482605
1756062197.3626065,8549,0.5370041728019714
1756062795.0277596,9024,0.5364813208580017
1756063378.5064664,9499,0.5239510536193848
1756063962.052855,9974,0.5446074604988098
1756064559.9056642,10449,0.5270218253135681
1756065155.2790525,10924,0.5155691504478455
1756065754.8833418,11399,0.5154565572738647
